Address:,"% of the total number of Issued Shares/ Warrants/ Units:","Name of CCASS Participant (* for Consenting Investor Participants ):",Shareholding:,"Participant ID:"
"18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","CHINA SECURITIES (INTERNATIONAL)","30,000",B01962
"RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","WOCOM SECURITIES LTD","29,055",B01129
"ROOM 2305-2306 23/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG","0.00%","HONG KONG INTERNATIONAL SECURITIES LTD","26,942",B01231
"19/F TAK WOO HOUSE 17-19 D'AGUILAR STREET CENTRAL HONG KONG","0.00%","BOKHARY SECURITIES LTD","26,750",B01662
"UNIT 710-715 7/F MILLENNIUM CITY 2 378 KWUN TONG ROAD KOWLOON","0.00%","REALINK FINANCIAL TRADE LTD","26,706",B01700
"ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","CELETIO INVESTMENTS LTD","26,214",B01343
"RM 2115 21/F GREAT EAGLE CENTRE 23 HARBOUR ROAD WANCHAI HONG KONG","0.00%","PACIFIC CHALLENGE SECURITIES LTD","25,647",B01471
"2/F UNIT B WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","NORTH SEA SECURITIES LTD","23,460",B01520
"ROOMS 1101-02 & 1111-12 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","EVER-LONG SECURITIES CO LTD","22,846",B01523
"7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON","0.00%","DBS BANK LTD","22,000",C00016
"1/F SUN MONG HOUSE 50-56 MONGKOK ROAD MONGKOK KOWLOON","0.00%","KEE CHEONG SECURITIES CO LTD","21,591",B01525
"13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG","0.00%","ABCI SECURITIES CO LTD","21,565",B01564
"RM 201-5 2/F KOWLOON CENTRE 29-39 ASHLEY ROAD KOWLOON","0.00%","RAMON INVESTMENT CO LTD","21,318",B01724
"RM 2704 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG","0.00%","ASTRUM CAPITAL MANAGEMENT LTD","21,000",B01810
"RM 504 MONGKOK COMMERCIAL CENTRE 16 ARGYLE STREET MONGKOK KOWLOON","0.00%","NORMAN KONG SECURITIES CO LTD","20,470",B01720
